Address,Latitude,Longitude,City,State,Type
515 E Peltason Dr,33.6439630281917,-117.837034830995,Irvine,CA,Business
4 Alcott Ct,33.6404087190433,-117.84130259518,Irvine,CA,Residential
16 Joyce Ct,33.6349863234968,-117.841136704937,Irvine,CA,Residential
11 Murasaki St,33.6408226750055,-117.835367622166,Irvine,CA,Residential
10 Whistler Ct,33.6355069488319,-117.840385864491,Irvine,CA,Residential
25 Harvey Ct,33.6364435212927,-117.842613093332,Irvine,CA,Business
18 Murasaki St,33.6406258112493,-117.834288818459,Irvine,CA,Residential
20 Newton Ct,33.6391218172702,-117.839424920332,Irvine,CA,Residential
26 McClintock Ct,33.6349786501768,-117.840642279804,Irvine,CA,Residential
4 Gibbs Ct,33.6384558536702,-117.843678793388,Irvine,CA,Residential
26 Whistler Ct,33.635928117476,-117.840377164505,Irvine,CA,Residential
20 Whitman Ct,33.636558888634,-117.841186993362,Irvine,CA,Residential
16 Whitman Ct,33.6368070517875,-117.840823562454,Irvine,CA,Business
22 Young,33.6374046467548,-117.841093706837,Irvine,CA,Residential
21 Harvey Ct,33.6366984782875,-117.842345306787,Irvine,CA,Residential
40 Gabrielino Dr,33.6407081393875,-117.835988933812,Irvine,CA,Business
14 Gibbs Ct,33.6383205123879,-117.84255127799,Irvine,CA,Residential
67 Whitman Ct,33.6372610470708,-117.838390093311,Irvine,CA,Business
26 Young,33.6372569119527,-117.841355320307,Irvine,CA,Residential
20 Alcott Ct,33.6397589128209,-117.841277651045,Irvine,CA,Residential
7 Gibbs Ct,33.6387882145802,-117.844090993349,Irvine,CA,Residential
10 Fuertes,33.6399621124427,-117.83451087985,Irvine,CA,Residential
17 Harvey Ct,33.6367805806245,-117.842632278018,Irvine,CA,Residential
3 Alcott Ct,33.6401584619744,-117.841663593331,Irvine,CA,Residential
24 Alcott Ct,33.6397718701684,-117.841338677995,Irvine,CA,Residential
30 Perkins Ct,33.6399255160575,-117.838609006808,Irvine,CA,Residential
1 Virgil Ct,33.6381482833841,-117.838087964503,Irvine,CA,Residential
29 Murasaki St,33.6398666447792,-117.833683122157,Irvine,CA,Residential
21 Murasaki St,33.6402839870188,-117.83448420395,Irvine,CA,Residential
7 Virgil Ct,33.638452051589,-117.837642015591,Irvine,CA,Residential
55 Schubert Ct,33.6422693518157,-117.837959588606,Irvine,CA,Residential
6 Fuertes,33.6401471478959,-117.834818219294,Irvine,CA,Residential
73 Whitman Ct,33.6370612441147,-117.838054990459,Irvine,CA,Business
5 Owen Ct,33.6391864888405,-117.83839840395,Irvine,CA,Residential
60 Whitman Ct,33.637548283173,-117.83876264813,Irvine,CA,Business
14 Joyce Ct,33.6350533896435,-117.841374446279,Irvine,CA,Residential
4 Virgil Ct,33.6385102837648,-117.838433803951,Irvine,CA,Residential
14 Dickens Ct,33.6392981425338,-117.842566301851,Irvine,CA,Residential
6 Gibbs Ct,33.6387200541682,-117.843601273263,Irvine,CA,Residential
19 Dickens Ct,33.6387552541024,-117.842483519294,Irvine,CA,Residential
8 Blake Ct,33.6406616184666,-117.84202340395,Irvine,CA,Residential
12 Blake Ct,33.6406765108991,-117.842347675114,Irvine,CA,Residential
10 Thompson Ct,33.6409508500021,-117.839557532786,Irvine,CA,Residential
38 Gabrielino Dr,33.6406681184551,-117.836049875114,Irvine,CA,Business
12 Handel Ct,33.635323821579,-117.841845303951,Irvine,CA,Residential
3 Twain,33.6403184017095,-117.835561703951,Irvine,CA,Residential
14 Russell Ct,33.6417338444387,-117.83963370395,Irvine,CA,Residential
5 Murasaki St,33.6410708138473,-117.835921861622,Irvine,CA,Residential
1 Zola Ct,33.637471183373,-117.83765214813,Irvine,CA,Residential
2 Owen Ct,33.6393285919712,-117.839105590458,Irvine,CA,Residential
7 Dickens Ct,33.6393881101221,-117.843638742328,Irvine,CA,Residential
11 Fuertes,33.639587723805,-117.834626032787,Irvine,CA,Residential
18 Alcott Ct,33.6397524270696,-117.841150317443,Irvine,CA,Residential
127 Schubert Ct,33.6411599417749,-117.838129432786,Irvine,CA,Business
19 Murasaki St,33.6404097757512,-117.834706632786,Irvine,CA,Residential
1 Alcott Ct,33.6401914120566,-117.84174330395,Irvine,CA,Residential
31 Murasaki St,33.6397895843379,-117.833573234638,Irvine,CA,Residential
99 Schubert Ct,33.642007711903,-117.837940273263,Irvine,CA,Business
8 Virgil Ct,33.6385865284005,-117.83830494813,Irvine,CA,Residential
125 Schubert Ct,33.6420345521811,-117.83982940395,Irvine,CA,Business
12 Curie Ct,33.6397656200471,-117.842393590458,Irvine,CA,Residential
57 Schubert Ct,33.6423215707925,-117.838120134638,Irvine,CA,Residential
11 Virgil Ct,33.6384857931081,-117.83747560395,Irvine,CA,Residential
103 Schubert Ct,33.6421018991027,-117.838048761622,Irvine,CA,Business
