Address,Latitude,Longitude
515 E Peltason Dr,33.6439630281917,-117.8370348309950
4 Alcott Ct,33.6404087190433,-117.8413025951800
16 Joyce Ct,33.6349863234968,-117.8411367049370
11 Murasaki St,33.6408226750055,-117.8353676221660
10 Whistler Ct,33.6355069488319,-117.8403858644910
25 Harvey Ct,33.6364435212927,-117.8426130933320
18 Murasaki St,33.6406258112493,-117.8342888184590
20 Newton Ct,33.6391218172702,-117.8394249203320
26 McClintock Ct,33.6349786501768,-117.8406422798040
4 Gibbs Ct,33.6384558536702,-117.8436787933880
26 Whistler Ct,33.6359281174760,-117.8403771645050
20 Whitman Ct,33.6365588886340,-117.8411869933620
16 Whitman Ct,33.6368070517875,-117.8408235624540
22 Young,33.6374046467548,-117.8410937068370
21 Harvey Ct,33.6366984782875,-117.8423453067870
40 Gabrielino Dr,33.6407081393875,-117.8359889338120
14 Gibbs Ct,33.6383205123879,-117.8425512779900
67 Whitman Ct,33.6372610470708,-117.8383900933110
26 Young,33.6372569119527,-117.8413553203070
20 Alcott Ct,33.6397589128209,-117.8412776510450
7 Gibbs Ct,33.6387882145802,-117.8440909933490
10 Fuertes,33.6399621124427,-117.8345108798500
17 Harvey Ct,33.6367805806245,-117.8426322780180
3 Alcott Ct,33.6401584619744,-117.8416635933310
24 Alcott Ct,33.6397718701684,-117.8413386779950
30 Perkins Ct,33.6399255160575,-117.8386090068080
1 Virgil Ct,33.6381482833841,-117.8380879645030
29 Murasaki St,33.6398666447792,-117.8336831221570
21 Murasaki St,33.6402839870188,-117.8344842039500
7 Virgil Ct,33.6384520515890,-117.8376420155910
55 Schubert Ct,33.6422693518157,-117.8379595886060
6 Fuertes,33.6401471478959,-117.8348182192940
73 Whitman Ct,33.6370612441147,-117.8380549904590
5 Owen Ct,33.6391864888405,-117.8383984039500
60 Whitman Ct,33.6375482831730,-117.8387626481300
14 Joyce Ct,33.6350533896435,-117.8413744462790
4 Virgil Ct,33.6385102837648,-117.8384338039510
14 Dickens Ct,33.6392981425338,-117.8425663018510
6 Gibbs Ct,33.6387200541682,-117.8436012732630
19 Dickens Ct,33.6387552541024,-117.8424835192940
8 Blake Ct,33.6406616184666,-117.8420234039500
12 Blake Ct,33.6406765108991,-117.8423476751140
10 Thompson Ct,33.6409508500021,-117.8395575327860
38 Gabrielino Dr,33.6406681184551,-117.8360498751140
12 Handel Ct,33.6353238215790,-117.8418453039510
3 Twain,33.6403184017095,-117.8355617039510
14 Russell Ct,33.6417338444387,-117.8396337039500
5 Murasaki St,33.6410708138473,-117.8359218616220
1 Zola Ct,33.6374711833730,-117.8376521481300
2 Owen Ct,33.6393285919712,-117.8391055904580
7 Dickens Ct,33.6393881101221,-117.8436387423280
11 Fuertes,33.6395877238050,-117.8346260327870
18 Alcott Ct,33.6397524270696,-117.8411503174430
127 Schubert Ct,33.6411599417749,-117.8381294327860
19 Murasaki St,33.6404097757512,-117.8347066327860
1 Alcott Ct,33.6401914120566,-117.8417433039500
31 Murasaki St,33.6397895843379,-117.8335732346380
99 Schubert Ct,33.6420077119030,-117.8379402732630
8 Virgil Ct,33.6385865284005,-117.8383049481300
125 Schubert Ct,33.6420345521811,-117.8398294039500
12 Curie Ct,33.6397656200471,-117.8423935904580
57 Schubert Ct,33.6423215707925,-117.8381201346380
11 Virgil Ct,33.6384857931081,-117.8374756039500
103 Schubert Ct,33.6421018991027,-117.8380487616220
24 Perkins Ct,33.6397952235035,-117.8391242174420
93 Schubert Ct,33.6418462566268,-117.8380775886060
22 McClintock Ct,33.6348760574211,-117.8408289039510
81 Schubert Ct,33.6420182118814,-117.8380265751140
48 Schubert Ct,33.6419496800796,-117.8382119751140
16 Eliot Ct,33.6357298527228,-117.8417833306870
24 Russell Ct,33.6412646174029,-117.8400090732630
12 Frost,33.6394282172558,-117.8347161886070
14 Thompson Ct,33.6406941187065,-117.8398857999990
14 Murasaki St,33.6408421143217,-117.8346758597710
1 Twain,33.6405953185835,-117.8354516886070
1 Murasaki St,33.6413164694477,-117.8362372904580
23 Murasaki St,33.6401537193624,-117.8342438020990
18 Fuertes,33.6397337775047,-117.8338116751150000
12 Dickens Ct,33.6393616101785,-117.8425975134920
12 Joyce Ct,33.6349373265739,-117.8415300886070
24 Harvey Ct,33.6368769576101,-117.8419818174430
22 Perkins Ct,33.6399177446864,-117.8394192865070
18 Joyce Ct,33.6351671893483,-117.8411022039510
5 Dickens Ct,33.6392742814820,-117.8435084711640
34 Gabrielino Dr,33.6406442222703,-117.8360234174420
8 Owen Ct,33.6395569204151,-117.8385888886070
61 Schubert Ct,33.6422107349256,-117.8395804346380
24 Mendel Ct,33.6398221164385,-117.8398364886070
14 Eliot Ct,33.6356560528644,-117.8418778153430
12 Owen Ct,33.6396518202476,-117.8382956174430
20 Perkins Ct,33.6400535480109,-117.8394341846560
22 Whistler Ct,33.6358503246796,-117.8405898732630
77 Whitman Ct,33.6365785581675,-117.8382783346380
14 Newton Ct,33.6391712921833,-117.8397197444270
26 Los Trancos Dr,33.6376939237010,-117.8429658462790
2 Urey Ct,33.6385075806850,-117.8390452327870
6 Perkins Ct,33.6402352477187,-117.8383412846560
5 Whistler Ct,33.6356009578004,-117.8400404481310
5 Alcott Ct,33.6400298195809,-117.8416888886070
16 Harvey Ct,33.6371650841669,-117.8426791904590
8 Thompson Ct,33.6410158950736,-117.8392959981480
6 Alcott Ct,33.6403815152777,-117.8411191462790
15 Virgil Ct,33.6386428157520,-117.8374333346380
2 Twain,33.6406263714526,-117.8349263732630
28 Young,33.6371157719193,-117.8413183269840
6 Dickens Ct,33.6396696236861,-117.8432645886070
15 Zola Ct,33.6380078819812,-117.8368419309350
27 Harvey Ct,33.6364276115400,-117.8426278306870
7 Owen Ct,33.6392302854405,-117.8382633039500
10 Russell Ct,33.6417410165625,-117.8392201886060
10 McClintock Ct,33.6347069213506,-117.8412540751150
17 Fuertes,33.6393452919486,-117.8341177616220
139 Schubert Ct,33.6419747800301,-117.8396479751150
109 Schubert Ct,33.6420298757311,-117.8381300634740
9 Zola Ct,33.6377781530571,-117.8371504327860
15 Harvey Ct,33.6368415200500,-117.8427093886070
7 Fuertes,33.6397238201206,-117.8349918192940
14 Whistler Ct,33.6354020539975,-117.8406526751150
76 Whitman Ct,33.6367355228431,-117.8379727886070
18 Virgil Ct,33.6388481635880,-117.8376623346380
24 Dickens Ct,33.6387299155441,-117.8418239597710
6 Virgil Ct,33.6385585898830,-117.8382963309350
18 Dickens Ct,33.6391999433596,-117.8421554039500
18 Whitman Ct,33.6371545570918,-117.8395184616230
11 Dickens Ct,33.6389567432952,-117.8429318576710
18 Perkins Ct,33.6402868403287,-117.8393298404760
2 Gibbs Ct,33.6384200101802,-117.8437316616220
44 Schubert Ct,33.6418898399575,-117.8382836481300
16 Handel Ct,33.6354178560720,-117.8415213039510
3 Murasaki St,33.6411304176396,-117.8360482462790
131 Schubert Ct,33.6421150436081,-117.8399722751140
20 Fuertes,33.6396769063988,-117.8337689634740
5 Zola Ct,33.6375632535255,-117.8372774597710
16 Frost,33.6393833106294,-117.8343632597710
9 Murasaki St,33.6408587219587,-117.8354964886070
17 Murasaki St,33.6404364509629,-117.8348137886070
25 Whistler Ct,33.6360201871361,-117.8401964462790
1 Russell Ct,33.6413108734141,-117.8387470309350
28 Urey Ct,33.6377743854443,-117.8414065058020
14 Handel Ct,33.6353857193087,-117.8416607751150
6 Frost,33.6395246848601,-117.8353400769660
10 Twain,33.6397956773441,-117.8354277039500
3 Owen Ct,33.6391344211602,-117.8385838039510
4 Thompson Ct,33.6408748539860,-117.8390485616220
6 Blake Ct,33.6405648790750,-117.8419299886070
4 Fuertes,33.6401623157325,-117.8350589058020
71 Whitman Ct,33.6371603192893,-117.8380572039510
7 Russell Ct,33.6412004333507,-117.8393071174420
1 Owen Ct,33.6390248923808,-117.8388070346380
24 Young,33.6374677059313,-117.8413264576710
5 Twain,33.6402378549776,-117.8356088192940
10 Murasaki St,33.6409908217668,-117.8350778192940
26 Harvey Ct,33.6366813605125,-117.8418628174430
4 Blake Ct,33.6406313147593,-117.8419404039500
10 Gibbs Ct,33.6383903840383,-117.8429903327860
12 Thompson Ct,33.6409597708768,-117.8396856846560
28 Los Trancos Dr,33.6375673155278,-117.8429744462790
68 Whitman Ct,33.6374116835274,-117.8383983886070
8 Twain,33.6398179948380,-117.8352957039500
101 Gabrielino Dr,33.6423021198619,-117.8371267886060
8 Gibbs Ct,33.6383940840299,-117.8430711020990
135 Schubert Ct,33.6421034478494,-117.8393213634740
2 Thompson Ct,33.6409464500103,-117.8389167481300
18 Gibbs Ct,33.6380603877467,-117.8423573616230
15 Frost,33.6390530147732,-117.8347894481300
16 Whistler Ct,33.6353595583264,-117.8407845886070
17 Whitman Ct,33.6368021851082,-117.8408804192940
519 E Peltason Dr,33.6440719710697,-117.8376130769660
75 Whitman Ct,33.6367538877735,-117.8380472904590
8 Russell Ct,33.6416801486400,-117.8390660462790
4 Dickens Ct,33.6396873669517,-117.8432347441790
10 Zola Ct,33.6381942228188,-117.8373628904590
69 Whitman Ct,33.6372041796422,-117.8384060730150
10 Frost,33.6394577493978,-117.8349742481300
22 Mendel Ct,33.6399793482615,-117.8400437039500
9 Virgil Ct,33.6385160160546,-117.8376614192940
3 Russell Ct,33.6412839454189,-117.8389639462780
14 Harvey Ct,33.6371745516984,-117.8427184174430
12 Murasaki St,33.6408886219154,-117.8349111904580
2 Murasaki St,33.6413020302587,-117.8357323697300
2 Dickens Ct,33.6394033698962,-117.8431133771720
14 Zola Ct,33.6382471611086,-117.8370585041600
22 Newton Ct,33.6389472377988,-117.8394390906660
4 Murasaki St,33.6411954013454,-117.8355312618300
22 Harvey Ct,33.6367883057849,-117.8420867041600
2 Virgil Ct,33.6382247733227,-117.8385193329950
39 Gabrielino Dr,33.6400755412020,-117.8358337041600
8 Dickens Ct,33.6396360089923,-117.8434267753240
18 Harvey Ct,33.6368647408703,-117.8423828618310
22 Russell Ct,33.6412324413216,-117.8401362906660
20 Whistler Ct,33.6356584755925,-117.8408170041600
101 Schubert Ct,33.6424702414494,-117.8394639618300
201 Gabrielino Dr,33.6419422094697,-117.8368973618300
75 Schubert Ct,33.6421908414207,-117.8389297618300
16 Gibbs Ct,33.6380100733227,-117.8424379041600
27 Murasaki St,33.6397867090234,-117.8338050464890
2 Schubert Ct,33.6409521053514,-117.8383530329950
32 Harvey Ct,33.6358037035845,-117.8422391906660
117 Schubert Ct,33.6420968095017,-117.8398940483370
6 Owen Ct,33.6393636021059,-117.8387999618310
20 Curie Ct,33.6393877020961,-117.8416865195010
4 Twain,33.6403437942925,-117.8351321618310
9 Alcott Ct,33.6398669340430,-117.8413175618300
22 Alcott Ct,33.6395831376666,-117.8413201618300
16 Curie Ct,33.6394736055053,-117.8420789195010
9 Frost,33.6389233410829,-117.8351486906660
133 Schubert Ct,33.6417922052638,-117.8399367618300
119 Schubert Ct,33.6421640052251,-117.8398988041590
97 Schubert Ct,33.6418658322769,-117.8380649844990
74 Whitman Ct,33.6368024356338,-117.8378955618310
14 Virgil Ct,33.6386743087930,-117.8378287041600
115 Schubert Ct,33.6423405414362,-117.8397554329950
11 Zola Ct,33.6377208056877,-117.8370438329950
87 Schubert Ct,33.6423213733210,-117.8390578041600
137 Schubert Ct,33.6409277092596,-117.8381506906660
22 Dickens Ct,33.6387087701128,-117.8419353618300
41 Gabrielino Dr,33.6400738090829,-117.8358412329950
95 Schubert Ct,33.6418244413828,-117.8380506329950
23 Harvey Ct,33.6363734733234,-117.8423118618310
8 Perkins Ct,33.6402555017357,-117.8385571329950
16 Fuertes,33.6396074089863,-117.8339804618300
83 Schubert Ct,33.6423075052102,-117.8390889329950
20 Harvey Ct,33.6367813408617,-117.8423034329950
14 Perkins Ct,33.6402844054209,-117.8390441753240
5 Virgil Ct,33.6382320733226,-117.8378854329950
8 Whistler Ct,33.6350703733238,-117.8402660618310
18 Mendel Ct,33.6398262697646,-117.8404222041600
35 Gabrielino Dr,33.6400599769604,-117.8358418329950
89 Schubert Ct,33.6422489733212,-117.8391954906660
14 Fuertes,33.6396807733221,-117.8341777906660
72 Whitman Ct,33.6368334733233,-117.8381396906660
2 Russell Ct,33.6414737733213,-117.8385246041590
51 Schubert Ct,33.6420510371537,-117.8378375906660
16 Alcott Ct,33.6398047054707,-117.8410773906660
2 Alcott Ct,33.6403326091364,-117.8412396041600
6 Thompson Ct,33.6407974733216,-117.8392159618300
8 Murasaki St,33.6409797772463,-117.8351241464890
24 Los Trancos Dr,33.6377083733228,-117.8431058618310
5 Fuertes,33.6396020768181,-117.8351142329950
16 Dickens Ct,33.6389879410896,-117.8423678329950
16 Newton Ct,33.6390329410942,-117.8397082464890
16 Thompson Ct,33.6404708695638,-117.8398827753240
18 Newton Ct,33.6390067766331,-117.8395440618310
12 Russell Ct,33.6415088093799,-117.8394232753240
5 Gabrielino Dr,33.6397923733219,-117.8366625041600
801 Gabrielino Dr,33.6415501413545,-117.8363357329950
18 Thompson Ct,33.6403043733219,-117.8397743041590
9 Owen Ct,33.6391238411037,-117.8381272906660
18 Frost,33.6390688055474,-117.8342667906660
42 Schubert Ct,33.6416151372442,-117.8382759906660
901 Gabrielino Dr,33.6417471094293,-117.8361155464890
12 Whistler Ct,33.6352108059492,-117.8405377618310
2 Zola Ct,33.6376187409481,-117.8376826329950
401 Gabrielino Dr,33.6419919733212,-117.8372331329950
53 Schubert Ct,33.6420762371483,-117.8379101041590
2 Blake Ct,33.6404121412369,-117.8418766041600
16 Virgil Ct,33.6386971410596,-117.8376937753240
40 Urey Ct,33.6373510381305,-117.8367522041600
107 Schubert Ct,33.6422006733210,-117.8397701329950
10 Blake Ct,33.6404458412404,-117.8422595753240
17 Dickens Ct,33.6386439410541,-117.8426360195020
14 McClintock Ct,33.6344804406239,-117.8411254618310
12 Zola Ct,33.6380587763384,-117.8371926041600
10 Dickens Ct,33.6397291054787,-117.8435961041600
26 Russell Ct,33.6409632733215,-117.8400919329950
7 Whistler Ct,33.6354704385214,-117.8398584329950
